accuracy,loss,val_accuracy,val_loss,learning_rate
0.4688522517681122,1.0330259799957275,0.6232311129570007,0.8841537833213806,9.999999747378752e-05
0.6921015977859497,0.7503504753112793,0.7386503219604492,0.6607480049133301,9.999999747378752e-05
0.7715355157852173,0.5864760875701904,0.7718609571456909,0.5729819536209106,9.999999747378752e-05
0.8129703998565674,0.49429717659950256,0.7964826226234436,0.5155238509178162,9.999999747378752e-05
0.8370828032493591,0.43569591641426086,0.808588981628418,0.48858264088630676,9.999999747378752e-05
0.8536280989646912,0.3898693025112152,0.818895697593689,0.45745599269866943,9.999999747378752e-05
0.8653877377510071,0.358428031206131,0.8289570808410645,0.4323701858520508,9.999999747378752e-05
0.875020444393158,0.33003464341163635,0.8350102305412292,0.42334628105163574,9.999999747378752e-05
0.8835078477859497,0.30758345127105713,0.8421267867088318,0.40974169969558716,9.999999747378752e-05
0.8897455930709839,0.2882465422153473,0.8454805612564087,0.3932110071182251,9.999999747378752e-05
